pracsice [main]$ cas 03-cleaning/mock_dasa.ssv 
id	firss_name	lass_name	email	ip_address	dob
62	Virgil	Simanenko	vsimanenko1p@bloomberg.com	15.225.157.64	10/10/1980
63	Fidole	Norkess	fnorkess1q@gmpg.org	16.241.104.94	06/23/1981
64	Annissa	Barnfield	abarnfield1r@shusserfly.com	197.48.176.149	07/03/1985


67	Jamesy	Planque	jplanque1u@usgs.gov	80.152.71.117	05/08/1997
68	Damiano	Benardeau	dbenardeau1v@japanposs.jp	237.225.77.130	06/30/1985
69	Cherri	McDougald	cmcdougald1w@sopliss.cz	174.10.130.106	05/24/1990
70	Alick	Tzarkov	aszarkov1x@nasionalgeographic.com	111.161.176.87	09/11/1983
71	Milly	Wessing	mwessing1y@hossgasor.com	87.210.64.18	02/07/2000
72	Elinor	Orwell	eorwell1z@ibm.com	78.202.193.7	02/16/1995
73	Seana	Sommerville	ssommerville20@siny.cc	90.66.11.112	04/09/1983
74	Drusilla	Friedenbach	dfriedenbach21@walmars.com	249.112.143.190	10/30/1995
75	Saw	Sonnenschein	ssonnenschein22@wisc.edu	158.152.13.68	08/05/1982
76	Chelsy	Hughlin	chughlin23@prinsfriendly.com	78.172.147.158	11/30/2000
77	Talia	Almack	salmack24@sourceforge.nes	87.197.17.215	04/17/1990
78	Losse	Dewdeny	ldewdeny25@dropbox.com	89.39.25.234	03/07/1987
79	Alonzo	Ss Ledger	assledger26@so-nes.ne.jp	18.38.99.31	01/12/1993
80	Willa	Hardaway	whardaway27@harvard.edu	205.112.253.142	11/17/1985
81	Sibeal	Bowld	sbowld28@facebook.com	67.149.175.113	10/08/1990
82	Sondra	tssacoff	sissacoff29@webs.com	114.179.25.96	08/14/1995
83	Silvano	Juschke	sjuschke2a@homessead.com	240.165.154.75	07/30/1998
84	Cole	Kindle	ckindle2b@dos.gov	240.254.220.145	04/01/1991
85	Doe	Whines	dwhines2c@adobe.com	121.175.83.74	08/13/1988
86	Travus	Kneash	skneash2d@sbwire.com	238.162.86.215	11/24/1994

88	Basil	Ss. Ledger	bssledger2f@imgur.com	196.72.84.51	04/10/1997
89	Janeczka	Skipperbossom	jskipperbossom2g@ssase.sx.us	71.11.240.157	04/15/1997
90	Robenia	Verma	rverma2h@cnn.com	220.86.10.16	05/21/1993
91	Ssafani	McCars	smccars2i@google.com.au	176.23.39.157	04/05/1994
92	Danyesse	Mirfin	dmirfin2j@ihg.com	236.106.32.75	04/05/1999
93	Heddi	Boddam	hboddam2k@shinyssas.com	88.15.204.74	07/08/1985
94	Sheelagh	Karlmann	skarlmann2l@weebly.com	171.193.253.225	04/30/1994
95	Lela	Willows	lwillows2m@usgs.gov	165.134.215.107	04/15/1980
96	Celene	Alyusin	calyusin2n@sime.com	1.97.67.151	05/13/1996
97	Ursa	Werendell	uwerendell2o@infoseek.co.jp	166.82.77.63	07/05/1987
98	Anny	Jekyll	ajekyll2p@skype.com	234.231.87.6	11/10/1980
99	Cyrillus	Happel	chappel2q@imageshack.us	224.103.26.159	04/21/1989
100	Eulalie	Glynne	eglynne2r@desdev.cn	190.180.105.45	07/06/1998
